,空间压迫/训练焦虑,社交媒体审美内化,训练自我效能,干预偏好指数,自由重量区回避频率
空间压迫/训练焦虑,1.0,0.40469649494423054,-0.02050680610588891,0.6705821646492764,0.6517770516090856
社交媒体审美内化,0.40469649494423054,1.0,0.14531695273167994,0.3861340940001303,0.3099390169773006
训练自我效能,-0.02050680610588891,0.14531695273167994,1.0,0.2645703176784574,-0.10653736306395423
干预偏好指数,0.6705821646492764,0.3861340940001303,0.2645703176784574,1.0,0.45486348926984105
自由重量区回避频率,0.6517770516090856,0.3099390169773006,-0.10653736306395423,0.45486348926984105,1.0
