construct,items,item_count,n,mean,sd,min,max,alpha
空间压迫/训练焦虑,"10、自由重量区的整体布局让我觉得不容易接近。, 11、当自由重量区男性较多时，我会明显感到不自在。, 12、镜子很多、公开可见的环境会让我更在意别人怎么看我的身体或动作。, 13、 我担心自己动作不标准，会被别人注意或评判。, 14、 我觉得自由重量区更像是“男性主导”的空间。, 15、自由重量区的人数密度、器械集中和拥挤感，会让我不想停留。",6,32,3.7161458333333335,0.7659122559284203,1.3833333333333335,5.0,0.8080258030886759
社交媒体审美内化,"21、社交媒体上的审美内容会影响我选择什么样的运动。, 22、我担心力量训练会让我看起来不够纤细，或不符合主流女性审美。, 23、我会不自觉地把社交媒体上流行的女性身材标准，当作自己努力的方向。",3,32,2.659375,0.9300146210358748,1.0,5.0,0.7604631918643574
训练自我效能,24、我有信心：如果我去健身房，我能够顺利实现自己的训练目标。,1,32,3.4906249999999996,0.938894124712342,1.5,5.0,
干预偏好指数,"25、如果社交媒体上对女性力量训练的刻板印象减少，我会更愿意参与力量训练。, 26、如果自由重量区增加半私密分区或视觉遮挡，我会更愿意使用。, 27、如果学校提供女性初学者力量训练 workshop，我会更愿意尝试力量训练。",3,32,3.977083333333333,0.5381794280481125,2.6666666666666665,5.0,-0.056522344424335236
